Xperia 1 III
Xperia 5 III
Xperia 10 III
Xperia Pro
Xperia 5 II
Xperia 1 II
Xperia 10 II
Xperia L4
Xperia 5
Xperia 1
Xperia 10 Plus
Xperia 10
Xperia L3
Xperia XA2 Plus
Xperia XZ3
Xperia XZ2 Premium
Xperia XZ2
Xperia XZ2 Compact
Xperia XA2 Ultra
Xperia XA2
Xperia L2
Xperia R1 (Plus)
Xperia XZ1
Xperia XA1 Plus
Xperia XZ1 Compact
Xperia L1
Xperia XZs
Xperia XZ Premium
Xperia XA1 Ultra
Xperia XA1
Xperia X Compact
Xperia XZ
Xperia E5
Xperia XA Ultra
Xperia X Performance
Xperia X
Xperia XA Dual
Xperia XA
Xperia Z5 Premium Dual
Xperia Z5 Premium
Xperia Z5 Dual
Xperia Z5
Xperia Z5 Compact
Xperia M5 Dual
Xperia M5
Xperia C5 Ultra Dual
Xperia C5 Ultra
Xperia Z4v
Xperia Z3+ dual
Xperia Z3+
Xperia C4 Dual
Xperia C4
Xperia M4 Aqua Dual
Xperia M4 Aqua
Xperia Z4 Tablet WiFi
Xperia Z4 Tablet LTE
Xperia E4g
Xperia E4g Dual
Xperia E4 Dual
Xperia E4
Xperia E3 Dual
Xperia E3
Xperia Z3 Tablet Compact
Xperia Z3 Dual
Xperia Z3v
Xperia Z3
Xperia M2 Aqua
Xperia Z3 Compact
Xperia C3 Dual
Xperia C3
Xperia Z2a
Xperia T3
SmartWatch 3 SWR50
SmartWatch 2 SW2
Xperia M2
Xperia M2 dual
Xperia Z2 Tablet LTE
Xperia Z2 Tablet Wi-Fi
Xperia Z2
Xperia E1 dual
Xperia E1
Xperia T2 Ultra dual
Xperia T2 Ultra
Xperia Z1s
Xperia Z1 Compact
Xperia Z1
Xperia Z Ultra
Xperia C
Xperia M
Xperia ion HSPA
Xperia ion LTE
Tablet P
Tablet P 3G
Tablet S 3G
Tablet S
CMD Z7
Xperia LT29i Hayabusa
CMD J70
CMD J7
CMD MZ5
CMD J6
CMD J5
CMD Z5
CMD CD5
CMD C1
CMD Z1 plus
CMD Z1
CM-DX 2000
CM-DX 1000
Xperia Z4 Compact
Xperia 5 Plus
Xperia X Ultra
Xperia H8541
Xperia M Ultra
Xperia X Premium
Xperia E1 II
Xperia Z4 Ultra
D 2403
Xperia C670X
