110 4G
105 4G
C20 Plus
C01 Plus
X20
X10
G20
G10
C20
C10
1.4
5.4
C1 Plus
8000 4G
6300 4G
8 V 5G UW
2 V Tella
225 4G
215 4G
3.4
2.4
C3
C5 Endi
C2 Tennen
C2 Tava
150 (2020)
125
8.3 5G
5.3
1.3
5310 (2020)
C2
C1
2.3
7.2
6.2
800 Tough
2720 V Flip
2720 Flip
220 4G
110 (2019)
105 (2019)
3.1 C
3.1 A
2.2
X71
9 PureView
4.2
3 V
3.2
1 Plus
210
8.1 (Nokia X7)
106 (2018)
3.1 Plus
7.1
6.1 Plus (Nokia X6)
5.1 Plus (Nokia X5)
5.1
3.1
2.1
8110 4G
8 Sirocco
7 plus
6.1
1
3310 4G
2
7
3310 3G
8
105 (2017)
130 (2017)
3
5
6
3310 (2017)
150
216
230 Dual SIM
230
222 Dual SIM
222
105 Dual SIM (2015)
105 (2015)
215
215 Dual SIM
Lumia 638
N1
Lumia 730 Dual SIM
Lumia 735
Lumia 830
130 Dual SIM
130
Lumia 530 Dual SIM
Lumia 530
X2 Dual SIM
225
225 Dual SIM
Lumia 930
Lumia 635
Lumia 630 Dual SIM
Lumia 630
XL
X+
X
Asha 230
220
Lumia Icon
Lumia 525
Lumia 1520
Lumia 1320
Lumia 2520
Asha 503 Dual SIM
Asha 503
Asha 502 Dual SIM
Asha 500 Dual SIM
Asha 500
108 Dual SIM
515
107 Dual SIM
106
Lumia 625
Lumia 1020
208
207
Lumia 925
Lumia 928
Asha 501
Asha 210
Lumia 720
Lumia 520
301
105
Asha 310
Lumia 505
Lumia 620
114
206
Asha 205
109
Lumia 822
Lumia 510
Lumia 810
Asha 309
Asha 308
Lumia 920
Lumia 820
Asha 311
Asha 306
Asha 305
113
112
111
110
Lumia 610 NFC
103
808 PureView
800c
Lumia 610
Asha 302
Asha 203
Asha 202
Lumia 900
Lumia 900 AT&T
801T
X2-02
Lumia 800
Lumia 710 T-Mobile
Lumia 710
Asha 303
Asha 300
Asha 201
Asha 200
603
C2-05
X2-05
C5-06
C5-05
C5-04
101
100
701
700
600
C3-01 Gold Edition
500
N9
C5 5MP
C2-06
C2-03
C2-02
702T
T7
N950
Oro
X1-01
X7-00
E6
C7 Astound
X1-00
X2-01
C2-01
C5-03
E7
C6-01
C7
C3-01 Touch and Type
5250
X3 Touch and Type S
X3-02 Touch and Type
X6 8GB (2010)
X5-01
5233
E73 Mode
C2-00
C1-02
C1-01
C1-00
N8
X2-00
C6
E5
C3 (2010)
C5
C5 TD-SCDMA
X5 TD-SCDMA
6303i classic
5132 XpressMusic
X6 16GB (2010)
2710 Navigation Edition
X6 (2009)
6700 slide
7230
5330 Mobile TV Edition
2690
2220 slide
1800
1616
1280
5235 Comes With Music
6788
N97 mini
X3
N900
5230
3208c
5800 Navigation Edition
6350
Mural
6760 slide
6790 Surge
3720 classic
5530 XpressMusic
E72
3710 fold
6730 classic
6600i slide
7020
2720 fold
2730 classic
E52
6216 classic
5730 XpressMusic
5330 XpressMusic
5030 XpressRadio
N86 8MP
E75
E55
6720 classic
6710 Navigator
5630 XpressMusic
6700 classic
6303 classic
2700 classic
6208c
8800 Gold Arte
N97
6260 slide
E63
7100 Supernova
5130 XpressMusic
2330 classic
2323 classic
1662
1661
1202
5800 XpressMusic
N85
N79
8800 Carbon Arte
3610 fold
7610 Supernova
7510 Supernova
7310 Supernova
7210 Supernova
E71
E66
703
6600 fold
6600 slide
3600 slide
5320 XpressMusic
5220 XpressMusic
6212 classic
5000
7070 Prism
2680 slide
1680 classic
6300i
N96
N78
6220 classic
6210 Navigator
6124 classic
6650 fold
3555
3120 classic
7900 Crystal Prism
2600 classic
1209
3110 Evolve
N82
8800 Sapphire Arte
8800 Arte
6301
E51
E51 camera-free
6263
N81 8GB
N81
N95 8GB
5610 XpressMusic
5310 XpressMusic
6555
7900 Prism
7500 Prism
8600 Luna
6500 slide
6500 classic
N810
3500 classic
N87
2630
6267
2760
2660
1650
1208
1200
6120 classic
6121 classic
5700
5070
E90
E65
E61i
N77
6110 Navigator
N800
3109 classic
3110 classic
N76
N93i
6290
6086
6300
2626
N95
N75
5300
5200
6288
6085
8800 Sirocco
7390
7373
6151
6080
1110i
E50
5500 Sport
N93
N73
N72
2610
2310
1112
6136
6133
6131 NFC
6131
6126
6070
6125
6103
6233
6234
6282
9300i
N92
N80
N71
7380
7370
7360
E70
E62
E61
E60
3250
6708
6280
6270
6111
6060
N91
N90
N70
2652
1600
1110
1101
5140i
8800
6230i
6021
6030
6680
6681
6101
6822
7710
6020
3230
6670
7280
7270
7260
9300
6630
6260
6170
3128
2650
2600
3220
N-Gage QD
3120
7610
9500
5140
6610i
3108
7700
7200
6230
6820
6810
3660
7600
3200
2300
1100
6620
6600
3100
7250i
6108
6220
3300
N-Gage
7250
8910i
6800
6100
5100
2100
6650
3650
3530
3510i
6610
3610
9210i Communicator
7210
6310i
3510
3410
7650
8910
6510
6500
8855
5210
5510
8310
6310
3350
3330
8250
9210 Communicator
3310
8890
8210
8850
8810
6250
6210
7110
9110i Communicator
9000 Communicator
3210
6150
6130
6110
5110
3110
8110
